Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,10133656718337,10134165982154,509263817,-1
0,1,STEP,10134166123661,10134170020636,3896975,-1
1,1,STEP,10134170083564,10134173115339,3031775,-1
2,1,STEP,10134173175262,10134176405009,3229747,-1
3,1,STEP,10134176465564,10134179569203,3103639,-1
4,1,STEP,10134179632823,10134182630593,2997770,-1
5,1,STEP,10134182691608,10134185483210,2791602,-1
6,1,STEP,10134185545467,10134188471732,2926265,-1
7,1,STEP,10134188535212,10134191381447,2846235,-1
8,1,STEP,10134191442672,10134194301039,2858367,-1
9,1,STEP,10134194361153,10134196481138,2119985,-1
10,1,STEP,10134196538817,10134199292517,2753700,-1
11,1,STEP,10134199353603,10134202840435,3486832,-1
12,1,STEP,10134202903083,10134206092234,3189151,-1
13,1,STEP,10134206154792,10134208637110,2482318,-1
14,1,STEP,10134208700680,10134211800723,3100043,-1
15,1,STEP,10134211864102,10134214464774,2600672,-1
16,1,STEP,10134214527663,10134217802555,3274892,-1
17,1,STEP,10134217871595,10134220259245,2387650,-1
18,1,STEP,10134220321422,10134223247788,2926366,-1
19,1,STEP,10134223313893,10134226052354,2738461,-1
20,1,STEP,10134226114892,10134228663576,2548684,-1
21,1,STEP,10134228725433,10134231518397,2792964,-1
22,1,STEP,10134231578731,10134234555792,2977061,-1
23,1,STEP,10134234619963,10134237057387,2437424,-1
24,1,STEP,10134237121928,10134239465034,2343106,-1
25,1,STEP,10134239524967,10134242721733,3196766,-1
26,1,STEP,10134242786465,10134245554321,2767856,-1
27,1,STEP,10134245624363,10134248485175,2860812,-1
28,1,STEP,10134248545168,10134250922088,2376920,-1
29,1,STEP,10134250983083,10134253875405,2892322,-1
30,1,STEP,10134253951328,10134256800167,2848839,-1
31,1,STEP,10134256864819,10134259466343,2601524,-1
32,1,STEP,10134259534982,10134261533239,1998257,-1
33,1,STEP,10134261592550,10134264345860,2753310,-1
34,1,STEP,10134264405703,10134267121361,2715658,-1
35,1,STEP,10134267182456,10134269913914,2731458,-1
36,1,STEP,10134269977845,10134272811005,2833160,-1
37,1,STEP,10134272876638,10134275239031,2362393,-1
38,1,STEP,10134275300447,10134277689800,2389353,-1
39,1,STEP,10134277754131,10134280536926,2782795,-1
40,1,STEP,10134280599033,10134283627090,3028057,-1
41,1,STEP,10134283688035,10134286054025,2365990,-1
42,1,STEP,10134286116021,10134289113792,2997771,-1
43,1,STEP,10134289178073,10134291710436,2532363,-1
44,1,STEP,10134291775619,10134294554437,2778818,-1
45,1,STEP,10134294616343,10134297695427,3079084,-1
46,1,STEP,10134297756101,10134301351918,3595817,-1
47,1,STEP,10134301414717,10134304262765,2848048,-1
48,1,STEP,10134304334329,10134307239415,2905086,-1
49,1,STEP,10134307296412,10134310080129,2783717,-1
50,1,STEP,10134310149019,10134313010562,2861543,-1
51,1,STEP,10134313075024,10134316541648,3466624,-1
52,1,STEP,10134316603955,10134319585956,2982001,-1
53,1,STEP,10134319652732,10134322901735,3249003,-1
54,1,STEP,10134322967319,10134325565596,2598277,-1
55,1,STEP,10134325629046,10134328669817,3040771,-1
56,1,STEP,10134328734198,10134332069334,3335136,-1
57,1,STEP,10134332133565,10134334976023,2842458,-1
58,1,STEP,10134335035334,10134338319104,3283770,-1
59,1,STEP,10134338390508,10134340848781,2458273,-1
60,1,STEP,10134340911149,10134343855168,2944019,-1
61,1,STEP,10134343920902,10134346254831,2333929,-1
62,1,STEP,10134346315355,10134349269053,2953698,-1
63,1,STEP,10134349332983,10134351835650,2502667,-1
64,1,STEP,10134351903558,10134354874798,2971240,-1
65,1,STEP,10134354937065,10134357254543,2317478,-1
66,1,STEP,10134357314496,10134359881675,2567179,-1
67,1,STEP,10134359946206,10134362796539,2850333,-1
68,1,STEP,10134362860609,10134365589052,2728443,-1
69,1,STEP,10134365655407,10134369260912,3605505,-1
70,1,STEP,10134369328550,10134371983224,2654674,-1
71,1,STEP,10134372053877,10134375447584,3393707,-1
72,1,STEP,10134375516544,10134378373919,2857375,-1
73,1,STEP,10134378445614,10134381040916,2595302,-1
74,1,STEP,10134381103474,10134383395243,2291769,-1
75,1,STEP,10134383465476,10134386459479,2994003,-1
76,1,STEP,10134386533488,10134389407916,2874428,-1
77,1,STEP,10134389480943,10134392241687,2760744,-1
78,1,STEP,10134392320515,10134394860112,2539597,-1
79,1,STEP,10134394924493,10134397393477,2468984,-1
80,1,STEP,10134397459351,10134400545688,3086337,-1
81,1,STEP,10134400612073,10134403544691,2932618,-1
82,1,STEP,10134403616256,10134406725216,3108960,-1
83,1,STEP,10134406799976,10134410003514,3203538,-1
84,1,STEP,10134410089997,10134413337999,3248002,-1
85,1,STEP,10134413402721,10134415833513,2430792,-1
86,1,STEP,10134415901901,10134418940188,3038287,-1
87,1,STEP,10134419008917,10134422251920,3243003,-1
88,1,STEP,10134422333564,10134425178045,2844481,-1
89,1,STEP,10134425253858,10134428359852,3105994,-1
90,1,STEP,10134428425406,10134431208482,2783076,-1
91,1,STEP,10134431276690,10134434394617,3117927,-1
92,1,STEP,10134434461212,10134437537701,3076489,-1
93,1,STEP,10134437608003,10134441201286,3593283,-1
94,1,STEP,10134441273011,10134444352655,3079644,-1
95,1,STEP,10134444421585,10134447099062,2677477,-1
96,1,STEP,10134447166559,10134449265906,2099347,-1
97,1,STEP,10134449341548,10134452353926,3012378,-1
98,1,STEP,10134452422184,10134455331888,2909704,-1
99,1,STEP,10134455412861,10134458202098,2789237,-1
100,1,STEP,10134458265878,10134461308283,3042405,-1
101,1,STEP,10134461373326,10134463949672,2576346,-1
102,1,STEP,10134464020455,10134466854757,2834302,-1
103,1,STEP,10134466923306,10134470140500,3217194,-1
104,1,STEP,10134470211203,10134472532328,2321125,-1
105,1,STEP,10134472601158,10134474868471,2267313,-1
106,1,STEP,10134474934436,10134477897871,2963435,-1
107,1,STEP,10134477973924,10134481404330,3430406,-1
108,1,STEP,10134481467799,10134484344972,2877173,-1
109,1,STEP,10134484410926,10134486882365,2471439,-1
110,1,STEP,10134486950453,10134490537945,3587492,-1
111,1,STEP,10134490602627,10134493419266,2816639,-1
112,1,STEP,10134493487685,10134496629547,3141862,-1
113,1,STEP,10134496697986,10134498836486,2138500,-1
114,1,STEP,10134498906047,10134501862359,2956312,-1
115,1,STEP,10134501929055,10134504907228,2978173,-1
116,1,STEP,10134504975737,10134507851197,2875460,-1
117,1,STEP,10134507922591,10134511351584,3428993,-1
118,1,STEP,10134511421336,10134514715104,3293768,-1
119,1,STEP,10134514783262,10134517710239,2926977,-1
120,1,STEP,10134517776925,10134520549100,2772175,-1
121,1,STEP,10134520633469,10134522981665,2348196,-1
122,1,STEP,10134523049723,10134525731688,2681965,-1
123,1,STEP,10134525799706,10134528549940,2750234,-1
124,1,STEP,10134528614331,10134531439796,2825465,-1
125,1,STEP,10134531502845,10134533646776,2143931,-1
126,1,STEP,10134533714704,10134536086665,2371961,-1
127,1,STEP,10134536149253,10134539046153,2896900,-1
128,1,STEP,10134539119411,10134541358982,2239571,-1
129,1,STEP,10134541420297,10134543783221,2362924,-1
130,1,STEP,10134543845399,10134546353787,2508388,-1
131,1,STEP,10134546416124,10134548883875,2467751,-1
132,1,STEP,10134548947395,10134551335256,2387861,-1
133,1,STEP,10134551397473,10134554103363,2705890,-1
134,1,STEP,10134554169357,10134556815565,2646208,-1
135,1,STEP,10134556880096,10134559544508,2664412,-1
136,1,STEP,10134559607998,10134562520197,2912199,-1
137,1,STEP,10134562584979,10134565057148,2472169,-1
138,1,STEP,10134565125297,10134567788426,2663129,-1
139,1,STEP,10134567851946,10134570608010,2756064,-1
140,1,STEP,10134570673364,10134573915635,3242271,-1
141,1,STEP,10134573982782,10134576686317,2703535,-1
142,1,STEP,10134576749075,10134579032770,2283695,-1
143,1,STEP,10134579097161,10134581733430,2636269,-1
144,1,STEP,10134581796960,10134584135387,2338427,-1
145,1,STEP,10134584197604,10134587089605,2892001,-1
146,1,STEP,10134587153465,10134589783482,2630017,-1
147,1,STEP,10134589859195,10134592707864,2848669,-1
148,1,STEP,10134592772476,10134595495368,2722892,-1
149,1,STEP,10134595560060,10134598066895,2506835,-1
150,1,STEP,10134598129893,10134600638692,2508799,-1
151,1,STEP,10134600701991,10134603373697,2671706,-1
152,1,STEP,10134603442597,10134606047858,2605261,-1
153,1,STEP,10134606133770,10134608724873,2591103,-1
154,1,STEP,10134608790727,10134611416546,2625819,-1
155,1,STEP,10134611479916,10134614234477,2754561,-1
156,1,STEP,10134614301253,10134617161845,2860592,-1
157,1,STEP,10134617234953,10134620086167,2851214,-1
158,1,STEP,10134620158182,10134623013834,2855652,-1
159,1,STEP,10134623087654,10134625510630,2422976,-1
160,1,STEP,10134625574230,10134628289728,2715498,-1
161,1,STEP,10134628362666,10134631095056,2732390,-1
162,1,STEP,10134631159207,10134633755882,2596675,-1
163,1,STEP,10134633825383,10134636390357,2564974,-1
164,1,STEP,10134636453817,10134639025984,2572167,-1
165,1,STEP,10134639090406,10134641678915,2588509,-1
166,1,STEP,10134641741422,10134644538915,2797493,-1
167,1,STEP,10134644604529,10134647470270,2865741,-1
168,1,STEP,10134647540673,10134650192661,2651988,-1
169,1,STEP,10134650260218,10134652616940,2356722,-1
170,1,STEP,10134652684447,10134655311890,2627443,-1
171,1,STEP,10134655384306,10134657557171,2172865,-1
172,1,STEP,10134657626482,10134660921763,3295281,-1
173,1,STEP,10134660982308,10134663214515,2232207,-1
174,1,STEP,10134663277373,10134665863949,2586576,-1
175,1,STEP,10134665924763,10134668580258,2655495,-1
176,1,STEP,10134668640462,10134671283403,2642941,-1
177,1,STEP,10134671346261,10134673940341,2594080,-1
178,1,STEP,10134674001406,10134676497661,2496255,-1
179,1,STEP,10134676558515,10134679339306,2780791,-1
180,1,STEP,10134679400161,10134682110419,2710258,-1
181,1,STEP,10134682174751,10134684568592,2393841,-1
182,1,STEP,10134684629838,10134687378248,2748410,-1
183,1,STEP,10134687443441,10134690167756,2724315,-1
184,1,STEP,10134690228421,10134693094923,2866502,-1
185,1,STEP,10134693155327,10134695530754,2375427,-1
186,1,STEP,10134695602800,10134698193623,2590823,-1
187,1,STEP,10134698253887,10134701079412,2825525,-1
188,1,STEP,10134701140888,10134703525462,2384574,-1
189,1,STEP,10134703598550,10134706222265,2623715,-1
190,1,STEP,10134706283741,10134708986265,2702524,-1
191,1,STEP,10134709047580,10134711619378,2571798,-1
192,1,STEP,10134711680322,10134714074475,2394153,-1
193,1,STEP,10134714136181,10134717014527,2878346,-1
194,1,STEP,10134717074149,10134719614928,2540779,-1
195,1,STEP,10134719677155,10134722249113,2571958,-1
196,1,STEP,10134722309206,10134724268719,1959513,-1
197,1,STEP,10134724333902,10134727021748,2687846,-1
198,1,STEP,10134727084867,10134729493006,2408139,-1
199,1,STEP,10134729555724,10134732605673,3049949,-1
200,1,STEP,10134732669313,10134735301323,2632010,-1
201,1,STEP,10134735364993,10134738374646,3009653,-1
202,1,STEP,10134738446982,10134741121984,2675002,-1
203,1,STEP,10134741184492,10134743696246,2511754,-1
204,1,STEP,10134743759375,10134746408228,2648853,-1
205,1,STEP,10134746471918,10134749045178,2573260,-1
206,1,STEP,10134749108758,10134752038029,2929271,-1
207,1,STEP,10134752101328,10134754934959,2833631,-1
208,1,STEP,10134754999751,10134757774260,2774509,-1
209,1,STEP,10134757843972,10134760889111,3045139,-1
210,1,STEP,10134760955556,10134763677827,2722271,-1
211,1,STEP,10134763740896,10134766416098,2675202,-1
212,1,STEP,10134766480650,10134768740469,2259819,-1
213,1,STEP,10134768808167,10134771543382,2735215,-1
214,1,STEP,10134771611019,10134774034948,2423929,-1
215,1,STEP,10134774101974,10134777172061,3070087,-1
216,1,STEP,10134777236042,10134779856822,2620780,-1
217,1,STEP,10134779920672,10134782535490,2614818,-1
218,1,STEP,10134782597948,10134785362709,2764761,-1
219,1,STEP,10134785425708,10134788606663,3180955,-1
220,1,STEP,10134788672377,10134790858066,2185689,-1
221,1,STEP,10134790921847,10134793074033,2152186,-1
222,1,STEP,10134793138364,10134795704491,2566127,-1
223,1,STEP,10134795768101,10134798504448,2736347,-1
224,1,STEP,10134798568639,10134801016953,2448314,-1
225,1,STEP,10134801080694,10134803593360,2512666,-1
226,1,STEP,10134803656869,10134806261800,2604931,-1
227,1,STEP,10134806329347,10134808994340,2664993,-1
228,1,STEP,10134809066356,10134811843891,2777535,-1
229,1,STEP,10134811916347,10134814397403,2481056,-1
230,1,STEP,10134814460843,10134817345279,2884436,-1
231,1,STEP,10134817411244,10134819762896,2351652,-1
232,1,STEP,10134819827468,10134822809789,2982321,-1
233,1,STEP,10134822876464,10134825655071,2778607,-1
234,1,STEP,10134825721767,10134828436694,2714927,-1
235,1,STEP,10134828506646,10134831019633,2512987,-1
236,1,STEP,10134831090286,10134833499417,2409131,-1
237,1,STEP,10134833565441,10134836247416,2681975,-1
238,1,STEP,10134836313250,10134839013550,2700300,-1
239,1,STEP,10134839089112,10134841579015,2489903,-1
240,1,STEP,10134841657663,10134844410061,2752398,-1
241,1,STEP,10134844471477,10134847412099,2940622,-1
242,1,STEP,10134847474186,10134849822873,2348687,-1
243,1,STEP,10134849884539,10134852344055,2459516,-1
244,1,STEP,10134852404068,10134855274558,2870490,-1
245,1,STEP,10134855343979,10134858010274,2666295,-1
246,1,STEP,10134858074024,10134860488516,2414492,-1
247,1,STEP,10134860550703,10134863117451,2566748,-1
248,1,STEP,10134863180439,10134865967162,2786723,-1
249,1,STEP,10134866030191,10134868206613,2176422,-1
250,1,STEP,10134868272577,10134870908034,2635457,-1
251,1,STEP,10134870970001,10134873635134,2665133,-1
252,1,STEP,10134873695598,10134876257557,2561959,-1
253,1,STEP,10134876317740,10134878984877,2667137,-1
254,1,STEP,10134879046243,10134882180410,3134167,-1
255,1,STEP,10134882239972,10134884778837,2538865,-1
256,1,STEP,10134884846415,10134887473497,2627082,-1
257,1,STEP,10134887534602,10134890391908,2857306,-1
258,1,STEP,10134890454786,10134893123907,2669121,-1
259,1,STEP,10134893183589,10134895992944,2809355,-1
260,1,STEP,10134896055342,10134898622280,2566938,-1
261,1,STEP,10134898685208,10134901219154,2533946,-1
262,1,STEP,10134901279779,10134904243494,2963715,-1
263,1,STEP,10134904305191,10134906823477,2518286,-1
264,1,STEP,10134906881987,10134909903592,3021605,-1
265,1,STEP,10134909975859,10134912443429,2467570,-1
266,1,STEP,10134912504024,10134915025065,2521041,-1
267,1,STEP,10134915084587,10134917368933,2284346,-1
268,1,STEP,10134917428866,10134920088018,2659152,-1
269,1,STEP,10134920149414,10134922563504,2414090,-1
270,1,STEP,10134922624279,10134925298599,2674320,-1
271,1,STEP,10134925359203,10134928243660,2884457,-1
272,1,STEP,10134928308041,10134930660736,2352695,-1
273,1,STEP,10134930724285,10134933408184,2683899,-1
274,1,STEP,10134933470221,10134935790895,2320674,-1
275,1,STEP,10134935851439,10134938069519,2218080,-1
276,1,STEP,10134938134903,10134940682675,2547772,-1
277,1,STEP,10134940744481,10134943338540,2594059,-1
278,1,STEP,10134943399425,10134946186238,2786813,-1
279,1,STEP,10134946248174,10134948666102,2417928,-1
280,1,STEP,10134948728600,10134951021993,2293393,-1
281,1,STEP,10134951083268,10134954060580,2977312,-1
282,1,STEP,10134954125312,10134956704012,2578700,-1
283,1,STEP,10134956765578,10134959400925,2635347,-1
284,1,STEP,10134959462160,10134962283097,2820937,-1
285,1,STEP,10134962343852,10134964648545,2304693,-1
286,1,STEP,10134964714670,10134967103412,2388742,-1
287,1,STEP,10134967168184,10134969627279,2459095,-1
288,1,STEP,10134969697351,10134972347095,2649744,-1
289,1,STEP,10134972420494,10134975146592,2726098,-1
290,1,STEP,10134975207868,10134977650462,2442594,-1
291,1,STEP,10134977716406,10134980275870,2559464,-1
292,1,STEP,10134980342466,10134982553413,2210947,-1
293,1,STEP,10134982621170,10134985091216,2470046,-1
294,1,STEP,10134985156529,10134987606497,2449968,-1
295,1,STEP,10134987676408,10134990354917,2678509,-1
296,1,STEP,10134990416252,10134992814563,2398311,-1
297,1,STEP,10134992875037,10134995488903,2613866,-1
298,1,STEP,10134995549618,10134997877806,2328188,-1
299,1,STEP,10134997945223,10134999903484,1958261,-1
300,1,STEP,10134999966212,10135002316602,2350390,-1
301,1,STEP,10135002383408,10135004667603,2284195,-1
302,1,STEP,10135004735461,10135007615590,2880129,-1
303,1,STEP,10135007677927,10135010192587,2514660,-1
304,1,STEP,10135010260054,10135012876295,2616241,-1
305,1,STEP,10135012941207,10135015757926,2816719,-1
306,1,STEP,10135015819953,10135018628497,2808544,-1
307,1,STEP,10135018690293,10135021650883,2960590,-1
308,1,STEP,10135021713271,10135024263267,2549996,-1
309,1,STEP,10135024326005,10135026860863,2534858,-1
310,1,STEP,10135026929352,10135029778271,2848919,-1
311,1,STEP,10135029848454,10135032575674,2727220,-1
312,1,STEP,10135032634936,10135035564287,2929351,-1
313,1,STEP,10135035624882,10135038337214,2712332,-1
314,1,STEP,10135038397037,10135041130819,2733782,-1
315,1,STEP,10135041200430,10135043957837,2757407,-1
316,1,STEP,10135044025465,10135046680910,2655445,-1
317,1,STEP,10135046742025,10135049272735,2530710,-1
318,1,STEP,10135049341925,10135051834834,2492909,-1
319,1,STEP,10135051902211,10135054660199,2757988,-1
320,1,STEP,10135054734439,10135057650405,2915966,-1
321,1,STEP,10135057710297,10135060857489,3147192,-1
322,1,STEP,10135060919446,10135063549573,2630127,-1
323,1,STEP,10135063609947,10135066441645,2831698,-1
324,1,STEP,10135066503782,10135069734291,3230509,-1
325,1,STEP,10135069802289,10135072584272,2781983,-1
326,1,STEP,10135072657671,10135075685147,3027476,-1
327,1,STEP,10135075751652,10135078758509,3006857,-1
328,1,STEP,10135078820566,10135081479979,2659413,-1
329,1,STEP,10135081540683,10135084211086,2670403,-1
330,1,STEP,10135084270779,10135087739907,3469128,-1
331,1,STEP,10135087804559,10135090439375,2634816,-1
332,1,STEP,10135090512663,10135093444409,2931746,-1
